run_id,dataset,exposure,condition,seed,brier,ece
junyi_20_TrainEmpDiff_42,junyi,20,TrainEmpDiff,42,0.1776888543364687,0.0369157010568335
junyi_20_TrainEmpDiff_123,junyi,20,TrainEmpDiff,123,0.1815423772652453,0.0276983226084306
junyi_20_TrainEmpDiff_456,junyi,20,TrainEmpDiff,456,0.1793753608831047,0.0273044992092042
junyi_20_TrainEmpDiff_789,junyi,20,TrainEmpDiff,789,0.1800599041047011,0.0390274618820874
junyi_warm_Standard_2024,junyi,warm,Standard,2024,0.1507568315281988,0.0032597692348242
junyi_warm_Standard_42,junyi,warm,Standard,42,0.1509729416369366,0.0028075595732437
junyi_warm_Standard_123,junyi,warm,Standard,123,0.1509509326909061,0.0031029848977766
junyi_warm_Standard_456,junyi,warm,Standard,456,0.1509701811128092,0.0048570184930147
junyi_warm_Standard_789,junyi,warm,Standard,789,0.1508788507895953,0.0065404362928346
junyi_warm_LLM-Mini_2024,junyi,warm,LLM-Mini,2024,0.1508717405681224,0.0075402650835271
junyi_warm_LLM-Mini_42,junyi,warm,LLM-Mini,42,0.1509003639346788,0.0022762972884979
junyi_warm_LLM-Mini_123,junyi,warm,LLM-Mini,123,0.1512692383328089,0.0134316739622127
junyi_warm_LLM-Mini_456,junyi,warm,LLM-Mini,456,0.1510508325266465,0.0041233176294219
junyi_warm_LLM-Mini_789,junyi,warm,LLM-Mini,789,0.1508698289000808,0.0025614396723067
junyi_warm_LLM-5.4_2024,junyi,warm,LLM-5.4,2024,0.1508693641052405,0.0076542287453863
junyi_warm_LLM-5.4_42,junyi,warm,LLM-5.4,42,0.1508974753674986,0.0023663917923601
junyi_warm_LLM-5.4_123,junyi,warm,LLM-5.4,123,0.1512837899455841,0.0135847926178887
