dataset,exposure,metric,condition_a,condition_b,mean_diff,ci_lo,ci_hi,cohens_d,n_seeds,p_value,p_value_holm
junyi,1,log_loss,LLM-Mini,Random-Scalar,0.0017787767505719864,-0.0011683474014567527,0.004725900902600726,0.5290452145432682,5,0.30232352026687975,1.0
junyi,1,auc,LLM-Mini,Random-Scalar,-0.003361703778124192,-0.00920551876843279,0.002482111212184407,-0.5042354809254711,5,0.3225825562329958,1.0
junyi,1,brier,LLM-Mini,Random-Scalar,0.0008769122662970585,-0.0005804317291024067,0.0023342562616965237,0.5274272038164424,5,0.3036065408551746,1.0
junyi,1,log_loss,LLM-5.4,Random-Scalar,0.003240666702081918,-0.00202703519288655,0.008508368597050385,0.539241767468772,5,0.29434691704950827,1.0
junyi,1,auc,LLM-5.4,Random-Scalar,-0.001663205698246184,-0.006370196540637643,0.003043785144145275,-0.3097225821548061,5,0.526691048177941,1.0
junyi,1,brier,LLM-5.4,Random-Scalar,0.0016001994935678555,-0.001004216515284631,0.0042046155024203415,0.538559114159795,5,0.29487403657306455,1.0
junyi,1,log_loss,LLM-Mini,TrainEmpDiff,-0.0005181883685256405,-0.0017240243249658559,0.0006876475879145749,-0.3766754734753619,5,0.4470467253809964,1.0
junyi,1,auc,LLM-Mini,TrainEmpDiff,-0.0017001875519762288,-0.00320033911261849,-0.0002000359913339677,-0.9934138844389327,5,0.09047594545175769,1.0
junyi,1,brier,LLM-Mini,TrainEmpDiff,-0.0002447850402432339,-0.0008349695869775333,0.00034539950649106554,-0.36354791492584676,5,0.4618731062471031,1.0
junyi,1,log_loss,LLM-5.4,TrainEmpDiff,0.000943701582984291,-0.00018464486688569352,0.0020720480328542757,0.7330944171712721,5,0.17650182347055338,1.0
junyi,1,auc,LLM-5.4,TrainEmpDiff,-1.68947209822079e-06,-0.0030084994892455776,0.003005120545049136,-0.0004925097568316813,5,0.9991740338289752,1.0
junyi,1,brier,LLM-5.4,TrainEmpDiff,0.000478502187027563,-8.623708426956075e-05,0.0010432414583246867,0.7426774994257455,5,0.17210985324144695,1.0
junyi,3,log_loss,LLM-Mini,Standard,0.0019039530604382238,-0.00882427502856366,0.012632181149440107,0.15556036490823094,5,0.7454909824308676,1.0
